corner,process,vdd_scale,temp_c,i_side_a,w_tail,l_tail,nf_tail,nf_ref,ok,fail_reason,i_tail_meas_a,i_ref_meas_a,mirror_err,v_src_dc,vds_tail,vdsat_tail,tail_margin_v,gm_tail,vgs_tail,vth_tail,v_bias_dc,gm_in,peaking_db,f_pk_hz,vn_in_vrms,i_supply_a,power_measured_w
ss_vdd0.95_t125,ss,0.95,125.0,0.00075,518.7358218604037,1.0,8,1,True,,0.0007334549,9.375e-05,-0.022060133333333343,0.4079179,0.4079179,0.1351993,0.27271860000000003,0.009330996,0.6326891,0.4706077,0.6326891,0.007055986,5.209225,2754229000.0,0.00048385,0.00156066,0.0026687285999999998
ff_vdd1.05_t0,ff,1.05,0.0,0.00075,518.7358218604037,1.0,8,1,True,,0.0007358545,9.375e-05,-0.018860666666666637,0.4607443,0.4607443,0.09358942,0.36715487999999996,0.01320495,0.6467896,0.5665104,0.6467896,0.01087171,5.9489779,3467369000.0,0.0004052267,0.00156546,0.0029587194000000004
tt_vdd1.00_t27,tt,1.0,27.0,0.00075,799.9999999999997,1.0,8,1,True,,0.0007332084,9.375e-05,-0.022388800000000098,0.4185618,0.4185618,0.08893997,0.32962183,0.01342147,0.6289457,0.5540861,0.6289457,0.008915227,6.253279,2884032000.0,0.0004093269,0.00156017,0.002808306
ss_vdd0.95_t125,ss,0.95,125.0,0.00075,799.9999999999997,1.0,8,1,True,,0.0007352335,9.375003e-05,-0.019688666666666688,0.4076794,0.4076794,0.1156116,0.29206780000000004,0.0104021,0.599758,0.4686594,0.599758,0.007065703,5.794993,2630268000.0,0.0004618374,0.00156422,0.0026748162
ff_vdd1.05_t0,ff,1.05,0.0,0.00075,799.9999999999997,1.0,8,1,True,,0.0007366778,9.375e-05,-0.01776293333333334,0.4606602,0.4606602,0.07995577,0.38070443000000004,0.01478157,0.6233125,0.565362,0.6233125,0.01087865,6.5680685,3311311000.0,0.0003882133,0.00156711,0.0029618379000000005
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,25.0,0.5,8,1,True,,0.001307185,0.0001875,-0.12854333333333334,0.3608195,0.3608195,0.3544133,0.0064062000000000285,0.003964607,1.142052,0.6322764,1.142052,0.01195473,2.7359912,4168694000.0,0.0003273253,0.00280187,0.0050433660000000005
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,25.0,0.5,8,1,True,,0.001158287,0.0001875,-0.22780866666666666,0.356862,0.356862,0.4985355,-0.1416735,0.002318386,1.240914,0.5648266,1.240914,0.008885056,1.6244702000000002,3311311000.0,0.0003599811,0.00250407,0.0042819597
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,25.0,0.5,8,1,True,,0.001368133,0.0001875,-0.08791133333333345,0.4028495,0.4028495,0.3063975,0.09645200000000004,0.004933133,1.08586,0.6336874,1.08586,0.01456994,3.75738058,4570882000.0,0.000331751,0.00292377,0.005525925300000001
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,38.55527063519852,0.5,8,1,True,,0.001353375,0.0001875,-0.09775,0.3566063,0.3566063,0.2904876,0.06611869999999997,0.005764758,1.020431,0.6295778,1.020431,0.01212773,3.40001496,4168694000.0,0.0003629848,0.00289425,0.0052096500000000006
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,38.55527063519852,0.5,8,1,True,,0.001256267,0.0001875,-0.16248866666666673,0.3462143,0.3462143,0.4041767,-0.057962400000000025,0.003670538,1.086072,0.5605986,1.086072,0.009194108,2.0168031,3467369000.0,0.0003822466,0.00270003,0.0046170513
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,38.55527063519852,0.5,8,1,True,,0.0013896,0.0001875,-0.0736,0.4010121,0.4010121,0.2534275,0.14758459999999995,0.006793388,0.9781331,0.6328343,0.9781331,0.01465139,4.084754,4786301000.0,0.0003619583,0.0029667,0.005607063000000001
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,59.46035575013605,0.5,8,1,True,,0.001367889,0.0001875,-0.0880740000000001,0.3552903,0.3552903,0.237281,0.11800930000000001,0.00780249,0.9266228,0.6219154,0.9266228,0.01218034,3.7972747,4168694000.0,0.0003977771,0.00292328,0.0052619039999999995
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,59.46035575013605,0.5,8,1,True,,0.001314753,0.0001875,-0.123498,0.3399856,0.3399856,0.3271343,0.01285130000000001,0.005518764,0.9684654,0.5517007,0.9684654,0.009362717,2.702119271,3630781000.0,0.0004219645,0.00281701,0.0048170871
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,59.46035575013605,0.5,8,1,True,,0.001393959,0.0001875,-0.07069400000000003,0.4006395,0.4006395,0.2080545,0.19258499999999998,0.008951795,0.8938467,0.6261836,0.8938467,0.01466767,4.2571888,4570882000.0,0.0003913816,0.00297542,0.0056235438
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,91.70040432046711,0.5,8,1,True,,0.001382012,0.0001875,-0.07865866666666677,0.3540134,0.3540134,0.1954123,0.15860109999999997,0.01031843,0.8495379,0.6081431,0.8495379,0.01223075,4.1206913,4168694000.0,0.0004347449,0.00295152,0.005312736
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,91.70040432046711,0.5,8,1,True,,0.0013536,0.0001875,-0.09760000000000002,0.3358941,0.3358941,0.2640813,0.07181279999999995,0.007683395,0.8715896,0.5302403,0.8715896,0.009468602,3.3515396,3630781000.0,0.0004672389,0.0028947,0.004949937
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,91.70040432046711,0.5,8,1,True,,0.001401826,0.0001875,-0.06544933333333347,0.3999676,0.3999676,0.1719623,0.22800529999999997,0.0117406,0.8247908,0.6161376,0.8247908,0.0146968,4.4649016,4570882000.0,0.0004267375,0.00299115,0.005653273500000001
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,141.42135623730948,0.5,8,1,True,,0.001391407,0.0001875,-0.07239533333333326,0.3531658,0.3531658,0.1625769,0.19058889999999998,0.01343084,0.7922127,0.5993464,0.7922127,0.01226385,4.4438122,4168694000.0,0.0004726385,0.00297031,0.0053465579999999995
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,141.42135623730948,0.5,8,1,True,,0.001376481,0.0001875,-0.08234600000000003,0.3334997,0.3334997,0.2164386,0.1170611,0.01019394,0.7991545,0.5165038,0.7991545,0.009528785,3.8634059,3630781000.0,0.0005094421,0.00294046,0.005028186600000001
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,141.42135623730948,0.5,8,1,True,,0.001407657,0.0001875,-0.061562000000000006,0.3994698,0.3994698,0.1434937,0.2559761,0.01518523,0.7737715,0.6097621,0.7737715,0.0147182,4.7147151,4570882000.0,0.0004636723,0.00300281,0.0056753109
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,218.1015465330515,0.5,8,1,True,,0.001398901,0.0001875,-0.06739933333333337,0.3524908,0.3524908,0.1364546,0.21603619999999998,0.01688999,0.7487805,0.59377,0.7487805,0.01229002,4.8336401,3981072000.0,0.0005032103,0.0029853,0.0053735400000000004
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,218.1015465330515,0.5,8,1,True,,0.001392027,0.0001875,-0.07198199999999999,0.3318792,0.3318792,0.1798212,0.152058,0.01288339,0.7434739,0.5077308,0.7434739,0.009568771,4.3528922,3467369000.0,0.0005399819,0.00297155,0.0050813505
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,218.1015465330515,0.5,8,1,True,,0.001413099,0.0001875,-0.05793400000000004,0.3990055,0.3990055,0.1207409,0.27826460000000003,0.01900516,0.7352585,0.6057782,0.7352585,0.01473804,5.0499726,4365158000.0,0.0004939115,0.0030137,0.005695893
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,336.35856610148574,0.5,8,1,True,,0.001405292,0.0001875,-0.06313866666666668,0.3519159,0.3519159,0.1154686,0.2364473,0.02036778,0.7144081,0.5902437,0.7144081,0.01231217,5.3278425,3801894000.0,0.0005182436,0.00299808,0.0053965440000000005
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,336.35856610148574,0.5,8,1,True,,0.001403666,0.0001875,-0.06422266666666665,0.3306691,0.3306691,0.1512491,0.17942,0.01554161,0.6987566,0.5021283,0.6987566,0.009598242,4.900948700000001,3467369000.0,0.0005524758,0.00299483,0.0051211593
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,336.35856610148574,0.5,8,1,True,,0.001418319,0.0001875,-0.05445400000000011,0.3985603,0.3985603,0.1024107,0.2961496,0.02283773,0.7047959,0.603304,0.7047959,0.01475694,5.5037455,4365158000.0,0.0005093585,0.00302414,0.0057156246
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,518.7358218604037,0.5,8,1,True,,0.001410559,0.0001875,-0.059627333333333365,0.3514425,0.3514425,0.09854161,0.25290089,0.02359019,0.6858134,0.5880093,0.6858134,0.01233031,5.9405768000000005,3630781000.0,0.0005133619,0.00300862,0.005415516
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,518.7358218604037,0.5,8,1,True,,0.001412704,0.0001875,-0.05819733333333332,0.3297312,0.3297312,0.128675,0.2010562,0.01798768,0.6611731,0.4985436,0.6611731,0.009620853,5.5347958,3162278000.0,0.0005444178,0.00301291,0.0051520761
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,518.7358218604037,0.5,8,1,True,,0.001422938,0.0001875,-0.05137466666666679,0.3981666,0.3981666,0.08761318,0.31055341999999997,0.02638062,0.6793987,0.6017638,0.6793987,0.01477355,6.0834801,3981072000.0,0.0005055426,0.00303338,0.005733088200000001
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,799.9999999999997,0.5,8,1,True,,0.001414628,0.0001875,-0.05691466666666667,0.3510771,0.3510771,0.08491477,0.26616233,0.02637624,0.6609256,0.5865874,0.6609256,0.01234425,6.6519353,3311311000.0,0.0004888914,0.00301676,0.005430168
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,799.9999999999997,0.5,8,1,True,,0.001419846,0.0001875053,-0.05343600000000004,0.3289953,0.3289953,0.1107131,0.21828219999999998,0.02009723,0.6282815,0.4962436,0.6282815,0.009638457,6.241378600000001,2884032000.0,0.0005174535,0.00302711,0.005176358099999999
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,799.9999999999997,0.5,8,1,True,,0.001426681,0.0001875,-0.048879333333333386,0.3978476,0.3978476,0.07571148,0.32213612,0.02943723,0.657212,0.6007985,0.657212,0.01478694,6.7792108,3801894000.0,0.0004824372,0.00304086,0.0057472254
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,25.0,0.75,8,1,True,,0.001227381,0.0001875,-0.18174599999999996,0.3682,0.3682,0.4319316,-0.0637316,0.002723671,1.23465,0.6111523,1.23465,0.01163491,2.3525910000000003,3981072000.0,0.000302322,0.00264226,0.0047560680000000004
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,25.0,0.75,8,1,True,,0.001049831,0.0001875,-0.3001126666666667,0.3690247,0.3690247,0.5945472,-0.22552250000000007,0.001538159,1.375359,0.5458835,1.375359,0.008499999,1.7302599,3162278000.0,0.0003508159,0.00228716,0.0039110436
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,25.0,0.75,8,1,True,,0.001325421,0.0001875,-0.11638599999999999,0.4065176,0.4065176,0.3778956,0.02862199999999998,0.003631389,1.168201,0.6139747,1.168201,0.01440113,3.3279058,4570882000.0,0.0003051163,0.00283834,0.005364462600000001
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,38.55527063519852,0.75,8,1,True,,0.001336836,0.0001875,-0.10877599999999998,0.3581103,0.3581103,0.3605762,-0.002465900000000021,0.004249332,1.099991,0.6043589,1.099991,0.01206677,2.9937188999999997,3981072000.0,0.0003280047,0.00286117,0.005150106000000001
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,38.55527063519852,0.75,8,1,True,,0.001189646,0.0001875,-0.20690266666666668,0.3534223,0.3534223,0.489723,-0.1363007,0.002469315,1.190805,0.53454,1.190805,0.008987771,1.9185150000000002,3311311000.0,0.0003566222,0.00256679,0.004389210899999999
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,38.55527063519852,0.75,8,1,True,,0.001396908,0.0001875,-0.06872800000000001,0.4003876,0.4003876,0.3182216,0.08216600000000002,0.005315202,1.050689,0.6095041,1.050689,0.01467862,3.993036647,4570882000.0,0.0003368586,0.00298132,0.0056346948
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,59.46035575013605,0.75,8,1,True,,0.001379623,0.0001875,-0.08025133333333334,0.3542289,0.3542289,0.3018741,0.052354800000000035,0.006126178,0.9821593,0.5985124,0.9821593,0.01222229,3.711949011,4168694000.0,0.0003635625,0.00294675,0.0053041500000000005
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,59.46035575013605,0.75,8,1,True,,0.00128466,0.0001875,-0.14356000000000002,0.3431797,0.3431797,0.4045452,-0.06136550000000002,0.003873334,1.041447,0.5276037,1.041447,0.009277375,2.4052211,3467369000.0,0.0003769511,0.00275682,0.0047141622
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,59.46035575013605,0.75,8,1,True,,0.001415023,0.0001875,-0.056651333333333276,0.3988412,0.3988412,0.2684936,0.1303476,0.007245586,0.9439168,0.6041257,0.9439168,0.01474503,4.3574564,4570882000.0,0.0003676783,0.00301755,0.0057031695
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,91.70040432046711,0.75,8,1,True,,0.001404376,0.0001875,-0.06374933333333344,0.3519982,0.3519982,0.2468541,0.10514409999999999,0.008235291,0.8904337,0.5857112,0.8904337,0.01230901,4.2403128,4168694000.0,0.0004008998,0.00299625,0.0053932500000000005
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,91.70040432046711,0.75,8,1,True,,0.001352188,0.0001875,-0.09854133333333337,0.3360421,0.3360421,0.3240848,0.011957300000000004,0.00573027,0.9264995,0.5086418,0.9264995,0.009464837,3.2018962299999996,3467369000.0,0.0004159642,0.00289188,0.0049451148
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,91.70040432046711,0.75,8,1,True,,0.001427892,0.0001875,-0.048072000000000004,0.3977445,0.3977445,0.2204103,0.1773342,0.009478396,0.8612797,0.5938131,0.8612797,0.01479126,4.6429298,4570882000.0,0.0003995211,0.00304328,0.005751799200000001
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,141.42135623730948,0.75,8,1,True,,0.001418234,0.0001875,-0.05451066666666671,0.3507535,0.3507535,0.2036484,0.1471051,0.01086515,0.8203303,0.5774247,0.8203303,0.01235656,4.649368,4168694000.0,0.0004382637,0.00302397,0.005443146
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,141.42135623730948,0.75,8,1,True,,0.001389122,0.0001875,-0.07391866666666669,0.3321816,0.3321816,0.2642687,0.0679129,0.008000277,0.8391718,0.4964195,0.8391718,0.009561354,3.9571728000000004,3467369000.0,0.0004619843,0.00296574,0.0050714154
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,141.42135623730948,0.75,8,1,True,,0.001435968,0.0001875,-0.04268800000000006,0.3970568,0.3970568,0.1820147,0.21504209999999999,0.01233003,0.797984,0.5871075,0.797984,0.01481989,4.932485799999999,4570882000.0,0.0004339361,0.00305944,0.005782341600000001
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,218.1015465330515,0.75,8,1,True,,0.001426867,0.0001875,-0.04875533333333326,0.3499796,0.3499796,0.1692116,0.180768,0.01398854,0.7667975,0.5720614,0.7667975,0.01238582,5.074534,3981072000.0,0.0004720811,0.00304123,0.005474214
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,218.1015465330515,0.75,8,1,True,,0.001409721,0.0001875,-0.06018599999999996,0.3300406,0.3300406,0.2183632,0.11167740000000001,0.01056452,0.7721395,0.4885282,0.7721395,0.009613415,4.5700575,3467369000.0,0.0005010615,0.00300694,0.0051418674
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,218.1015465330515,0.75,8,1,True,,0.00144139,0.0001875,-0.03907333333333329,0.3965954,0.3965954,0.1512678,0.24532759999999998,0.01572582,0.7496082,0.5827566,0.7496082,0.01483894,5.2848172,4365158000.0,0.0004661002,0.00307028,0.0058028292
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,336.35856610148574,0.75,8,1,True,,0.001432418,0.0001875,-0.04505466666666669,0.3494825,0.3494825,0.1415175,0.20796499999999998,0.01738994,0.7249552,0.5685883,0.7249552,0.0124045,5.5771266,3801894000.0,0.0004947593,0.00305234,0.005494212
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,336.35856610148574,0.75,8,1,True,,0.001422438,0.0001875,-0.051707999999999976,0.3287229,0.3287229,0.1823771,0.1463458,0.01327462,0.7192448,0.483426,0.7192448,0.00964494,5.158503400000001,3311311000.0,0.0005247916,0.00303238,0.0051853698
