idx,w_in,l_in,nf_in,i_bias,rs,cs,rl,cl,vcm_in,tt_ok,tt_pass,tt_first_fail,peaking_db,f_pk_hz,nyquist_boost_db,g_dc_db,g_nyq_db,g_pk_db,g_top_db,vn_in_vrms,gm,gmbs,gds,vth,vds,vdsat,id_a,v_src_dc,v_out_dc,power_w,c0_pass,c1_pass,c2_pass,c0_first_fail,c1_first_fail,c2_first_fail
1376,2.478775970027586e-05,8.987406074382456e-07,4.0,0.000880455859708213,88.0603903904076,3.483102555689846e-13,548.9821370089712,1.5e-13,1.1406696925083872,1,0,S3_peaking,-0.00011939999999999173,10000000.0,-4.0766748,0.9950308,-3.081644,0.9949114,-10.55547,0.0004517874,0.002313232,0.0004771845,1.618579e-05,0.6331754,1.393878,0.2888586,0.0004402279,0.164444,1.558322,0.0015848205474747834,0,0,0,S3_peaking,S3_peaking,S3_peaking
1377,6.016356675089467e-05,4.434308273736497e-07,3.0,0.0005080026488486552,151.30978446255486,6.813521368407439e-12,168.81329462525,1.5e-13,1.1430239695706812,1,0,S3_f_peak,2.360934,954992600.0,1.959822,-6.25383,-4.294008,-3.892896,-8.538984,0.000363358,0.003916693,0.0007123855,3.34112e-05,0.679715,1.390861,0.1069641,0.0002540014,0.366258,1.757119,0.0009144047679275793,0,0,0,S3_peaking,S3_f_peak,S3_f_peak
1378,2.2835442559222607e-05,2.558153111684138e-07,5.0,0.002014810174997696,584.1416188306144,1.2814676017400188e-13,353.8090045028433,1.5e-13,1.2724930995256467,1,0,S3_peaking,0.5270169999999998,2398833000.0,0.5260210000000001,-3.468277,-2.942256,-2.94126,-11.29735,0.0003993318,0.006025804,0.00114242,0.0001311227,0.7260513,1.17898,0.2069242,0.001007405,0.2645909,1.443571,0.0036266583149958532,0,0,0,S3_peaking,S3_peaking,S3_peaking
1379,4.152673680800843e-05,9.469864621156758e-07,2.0,0.0006551854366558631,79.7536251252327,2.678554003198184e-13,336.17861477400805,1.5e-13,1.4900318700277027,1,0,S3_peaking,-3.5999999999702936e-05,10000000.0,-1.54574,-2.08123,-3.62697,-2.081266,-7.35866,0.0004237824,0.002646352,0.0004759536,1.59928e-05,0.6918461,1.116675,0.2095289,0.0003275927,0.5731951,1.68987,0.0011793337859805537,0,0,0,S3_peaking,S3_peaking,S3_peaking
1380,6.055271414680297e-05,9.450123233172422e-07,1.0,0.0028769671199550652,264.0092192735545,2.274353870968983e-13,71.55923286036098,1.5e-13,1.5023464060123217,1,0,S3_f_peak,6.68195,19952620000.0,1.2937399999999997,-13.20779,-11.91405,-6.52584,-6.52152,0.0005102581,0.005960645,0.001160667,5.58013e-05,0.6550095,1.270128,0.3267658,0.001438484,0.4269351,1.697063,0.0051785408159191176,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1381,6.069212544318372e-05,1.979845735757806e-07,4.0,0.0020302548999057844,56.93030791557841,1.4464314434658561e-12,55.25211767399536,1.5e-13,1.3369212025603914,1,0,S3_f_peak,2.047045,5495409000.0,1.4726159999999995,-6.182421,-4.709805,-4.135376,-6.602146,0.0002233212,0.01290759,0.001905203,0.0003763884,0.7426034,1.277505,0.109219,0.001015131,0.4664065,1.743911,0.003654458819830412,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1382,4.7558832421147956e-05,5.224539739575849e-07,3.0,0.0005484194729740517,762.0235812377555,2.549123553344373e-12,171.59278226684924,1.5e-13,1.5600078830773836,1,0,S3_f_peak,7.706408,1148154000.0,7.386589999999999,-12.63135,-5.24476,-4.924942,-9.147828,0.0004096231,0.003482267,0.0005673488,2.781816e-05,0.7385636,1.060328,0.1346317,0.00027421,0.6926195,1.752948,0.0009871550513532931,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1383,3.875398569129271e-05,5.497036567880981e-07,2.0,0.0026245737130881513,522.659986460417,3.0710578185812717e-13,190.31154835227863,1.5e-13,1.548993151013691,1,0,S3_f_peak,4.8467400000000005,3311311000.0,4.611503000000001,-8.120974,-3.509471,-3.274234,-8.923133,0.0003928953,0.00588739,0.001051981,8.949738e-05,0.6948537,1.071387,0.276163,0.001312287,0.47887,1.550257,0.004724232683558672,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1384,9.600163871637206e-05,7.357598186627878e-07,5.0,0.0014989142194588318,79.04262997127118,1.2193318198847616e-12,523.6038803971679,1.5e-13,1.4790466544281755,1,0,S3_peaking,-0.0001020000000000465,10000000.0,-3.5940010000000004,8.568661,4.97466,8.568559,-1.816586,0.0002472765,0.00693441,0.001218393,5.623581e-05,0.7026475,0.8258528,0.1833796,0.0007494571,0.5817285,1.407581,0.0026980455950258975,0,0,0,S3_peaking,S3_peaking,S3_peaking
1385,7.682368825674568e-05,5.834969422349915e-07,8.0,0.0018814545207723867,78.2454557559458,3.6598336326147915e-12,319.27033777562986,1.5e-13,1.352833689777164,1,0,S3_nyq_boost,1.218216,1047129000.0,-0.042647000000000546,5.027103,4.984456,6.245319,-3.780095,0.0002274309,0.007707994,0.001380384,6.699866e-05,0.6988675,1.06054,0.1946758,0.0009407273,0.4391134,1.499654,0.003386618137390296,0,0,0,S3_nyq_boost,S3_peaking,S3_nyq_boost
1386,5.667202063922736e-05,2.6124610252675765e-07,1.0,0.0005540011765726476,62.37412328452617,3.5789835128379854e-12,481.2363792086542,1.5e-13,1.34358982723592,1,0,S3_nyq_boost,0.12744899999999948,524807500.0,-2.8013920000000003,5.875104,3.073712,6.002553,-10.02082,0.0002677218,0.004967191,0.0007662447,7.137229e-05,0.7319506,1.131649,0.08314097,0.0002770131,0.5350483,1.666697,0.0009972021178307657,0,0,0,S3_nyq_boost,S3_nyq_boost,S3_nyq_boost
1387,8.278565641658552e-05,3.249355000382985e-07,3.0,0.0008177217654605384,96.0022105524883,6.500306571353227e-13,629.7780445130305,1.5e-13,1.387490263520966,1,0,S3_peaking,-0.00017599999999973193,10000000.0,-4.957667999999999,9.418603,4.460935,9.418427,-7.229559,0.0002505168,0.006776727,0.001092241,9.636773e-05,0.7284986,0.9719663,0.09765774,0.000408861,0.5705421,1.542508,0.001471899177828969,0,0,0,S3_peaking,S3_peaking,S3_peaking
1388,3.13869111424803e-05,5.692282981146948e-07,7.0,0.001480773026073892,279.91942286227,5.408680448687094e-13,460.86844029105623,1.5e-13,1.5860379844881167,1,0,S3_nyq_boost,0.6098357999999999,1148154000.0,-0.5416529000000001,0.9822492,0.4405963,1.592085,-10.22579,0.0003491964,0.004148697,0.0007017919,4.774769e-05,0.7351538,0.9179081,0.260473,0.0007403867,0.5408712,1.458779,0.002665391446933006,0,0,0,S3_nyq_boost,S3_nyq_boost,S3_nyq_boost
1389,4.310551920784716e-05,3.473277930776032e-07,7.0,0.0018961155982144566,207.80681741313634,8.764492412657044e-12,99.75288311088424,1.5e-13,1.2333865137230635,1,0,S3_f_peak,5.4746500000000005,1202264000.0,5.330360000000001,-8.356623,-3.026263,-2.881973,-8.443964,0.0002662599,0.007390485,0.001376722,9.111303e-05,0.7054667,1.396498,0.1851433,0.0009480578,0.3089299,1.705428,0.003413008076786022,0,1,0,S3_f_peak,,S3_f_peak
1390,5.836932132712155e-05,2.727578927177267e-07,2.0,0.0005992882905124417,223.7937814489925,1.3741800166059685e-13,156.62953145972267,1.5e-13,1.545906139190392,1,0,S3_peaking,-4.000000000559112e-06,10000000.0,-0.2509010000000007,-6.32112,-6.572021,-6.321124,-11.5294,0.0004082105,0.005233199,0.0007719556,9.347259e-05,0.7584502,1.044334,0.08956093,0.0002996527,0.7087332,1.753067,0.0010787189229223952,0,0,0,S3_peaking,S3_peaking,S3_peaking
1391,9.24748972358122e-05,2.624466846404637e-07,5.0,0.00677770147159095,744.69305669706,2.534098583512137e-12,54.53593308651312,1.5e-13,1.3425645700674573,1,0,S3_peaking,20.0336551,3981072000.0,19.8613028,-19.07729,0.7840128,0.9563651,-1.977817,0.0001925029,0.02283138,0.003864722,0.0006008106,0.7078952,1.230938,0.1737786,0.003388851,0.3842475,1.615185,0.01219986264886371,0,0,0,S3_peaking,S3_peaking,S3_peaking
1392,4.947831101672525e-05,2.1944430523702715e-07,1.0,0.001352989182286764,390.38115803912194,8.168178578135126e-12,163.30994207839112,1.5e-13,1.1849059224655754,1,0,S3_f_peak,9.432970000000001,912010800.0,8.935884,-6.415673,2.520211,3.017297,-6.947909,0.000207825,0.009161873,0.001441503,0.000174198,0.7113317,1.344567,0.1006819,0.0006764946,0.3449516,1.689519,0.0024353805281161754,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1393,5.495436596574282e-05,9.930105499894142e-07,8.0,0.004353559508201253,238.4852694560489,1.0449911196505731e-12,242.51569560166482,1.5e-13,1.5141965995862021,1,1,,3.304978,1995262000.0,3.200387,-1.790617,1.40977,1.514361,-2.988347,0.000291724,0.00667473,0.001304455,0.0001046595,0.6571969,0.9815699,0.4471089,0.00217678,0.2905268,1.272097,0.007836407114762255,0,1,1,S3_peaking,,
