model,mae_log_fpeak,p90_log_fpeak,mdape_fpeak,mae_peaking_db,p90_peaking_db,bnd_mae_log_fpeak,bnd_mae_peaking_db,bnd_ratio_fpeak,fit_s,n_test,n_boundary
Analytic pre-screen,0.056976488754536356,0.09489042693715462,0.04922287013810607,0.4785274238029283,0.9944356179572282,0.04136928442551344,0.5019081408152191,0.726076410284579,0.11953430000039589,262,186
"Ridge (scaled, physics)",0.07102252306930489,0.1285524705669669,0.11086743020145753,0.806771429810346,1.596004538139735,0.05781894133927891,0.7592674435043368,0.8140930347244674,0.016033899999911227,262,186
Random Forest,0.046865396132826094,0.0902066776978945,0.05803813589325727,0.2498391150228894,0.5295295144333398,0.03943261748095757,0.24518655273753195,0.8414015613822506,1.3818489999998746,262,186
XGBoost,0.040937261707756814,0.08454656599988777,0.04637776681773791,0.22652108820983988,0.45037802759094103,0.03293889015575853,0.20685751719969486,0.8046187942638394,2.066062100000181,262,186
LightGBM,0.04157082567008341,0.07973237483368846,0.05195926204397889,0.24239797792347695,0.4528810258559778,0.035810054952538604,0.22843382707058912,0.8614227496161914,9.496835199999623,262,186
