stage,corner,temp_c,vcm_out_v,ok,problems,fail_reason,c_in_ff,c_in_lo_ff,cgg_ff,cgs_ff,cgd_ff,cgb_ff,analytic_ff,a_load,g_in_s,gm,id_a,vgs,vds,vdsat,v_src_dc,v_out_dc,runtime_s
summer_min,ff,0.0,1.4,True,,,6.314860526978555,6.315301984593506,2.99576,-2.2883,0.012672619999999999,-0.7201369999999999,6.282874807280875,1.3610374544016761,6.2872147e-07,0.002006862,0.0005,1.047357,1.047357,0.1526246,0.3526427,1.4,0.647467000000006
summer_min,ff,0.0,1.6,True,,,6.268370616890082,6.268790925996194,3.006602,-2.32416,0.017776649999999998,-0.700218,6.260048977856254,1.3093466964292484,6.06919508e-07,0.001954924,0.0005,1.082787,0.8827875,0.1570745,0.5172125,1.4,0.6508182000000033
summer_min,ff,27.0,1.2,True,,,6.282983434356262,6.283440132648564,2.969796,-2.24078,0.0076872220000000005,-0.7367,6.227624210052885,1.348167323460645,6.38296018e-07,0.00195332,0.0005,1.013234,1.213233,0.1621893,0.1867665,1.399999,0.6198906000001898
summer_min,ff,27.0,1.4,True,,,6.237516101143351,6.2379523512085635,2.9797089999999997,-2.2764599999999997,0.012822789999999999,-0.71607,6.206354363687317,1.2987078556254772,6.17430794e-07,0.00190255,0.0005000001,1.04888,1.04888,0.166613,0.3511202,1.4,0.6513187999998991
summer_min,ff,27.0,1.6,True,,,6.1943780450859744,6.194793910586076,2.991142,-2.31305,0.017838080000000003,-0.6959299999999999,6.185856767835842,1.249401759544697,5.96571754e-07,0.001852923,0.0005,1.084711,0.8847107,0.1711887,0.5152893,1.4,0.6220897000000605
summer_min,ff,125.0,1.2,True,,,6.060214846200727,6.060656494801609,2.92146,-2.20788,0.008439885000000001,-0.72202,6.010286043232854,1.1720218277518966,6.05505926e-07,0.001664494,0.0005,1.020112,1.220111,0.2086504,0.179888,1.399999,0.6378842999999961
summer_min,ff,125.0,1.4,True,,,6.0192308695375285,6.019653750587521,2.93117,-2.2436599999999998,0.013434179999999999,-0.700948,5.991018263288092,1.126225911473586,5.86530838e-07,0.001615839,0.0005,1.056418,1.056418,0.2133073,0.3435822,1.4,0.6179618999999548
summer_min,ff,125.0,1.6,True,,,5.980881798450182,5.981285670033771,2.943145,-2.2811,0.018172459999999998,-0.680219,5.972394784668878,1.0800551715489568,5.67356784e-07,0.001567951,0.0005,1.093206,0.8932057,0.2181014,0.5067942,1.4,0.6604213999999047
summer_min,sf,0.0,1.2,True,,,6.218372346165672,6.218822869246182,2.820522,-2.14539,0.007420901999999999,-0.6825479999999999,6.12924456556357,1.4084187323774242,6.419174e-07,0.002051033,0.0005,0.9974409,1.19744,0.1477054,0.2025591,1.399999,0.625581000000011
summer_min,sf,0.0,1.4,True,,,6.170012734735336,6.170442796856361,2.829911,-2.17838,0.012300219999999999,-0.6638270000000001,6.105002806219864,1.3569010873353795,6.20625752e-07,0.001998355,0.0005000001,1.032251,1.032251,0.1519611,0.3677494,1.4,0.6794612999999572
summer_min,sf,0.0,1.6,True,,,6.123508602561148,6.123918267384665,2.840449,-2.21195,0.01707638,-0.6455759999999999,6.081138753312925,1.3054530737133767,5.99312058e-07,0.001946705,0.0005,1.067226,0.8672257,0.1563717,0.5327743,1.4,0.597511299999951
